Date,Open,Low,High,Close
2020-07-10,640.0,636.7,647.0,638.9
2020-07-13,641.0,636.6,646.0,638.35
2020-07-14,639.95,631.25,644.0,632.3
2020-07-15,634.4,633.1,643.5,638.2
2020-07-16,639.95,635.9,677.4,674.5
2020-07-17,674.5,669.25,696.65,689.1
2020-07-20,689.0,672.35,690.85,674.35
2020-07-21,676.1,660.0,682.1,662.3
2020-07-22,666.15,657.5,677.8,661.7
2020-07-23,663.95,662.2,674.0,671.45
2020-07-24,673.0,658.2,681.0,666.05
2020-07-27,673.95,650.4,673.95,652.9
2020-07-28,651.0,644.25,665.75,662.6
2020-07-29,662.6,662.6,685.55,681.25
2020-07-30,681.2,681.0,698.95,685.95
2020-07-31,687.0,687.0,724.0,720.15
2020-08-03,724.0,701.0,734.2,710.4
2020-08-04,708.0,703.2,718.9,713.85
2020-08-05,720.8,716.0,729.95,722.15
2020-08-06,724.95,720.1,739.7,731.1
2020-08-07,738.0,724.5,739.65,728.65
2020-08-10,760.0,751.35,814.5,795.6
2020-08-11,801.1,768.75,801.85,778.0
2020-08-12,778.0,755.6,778.0,762.1
2020-08-13,765.95,754.1,782.9,760.25
2020-08-14,762.0,752.55,787.75,771.8
2020-08-17,779.0,765.5,781.0,771.65
2020-08-18,772.0,763.0,779.65,764.85
2020-08-19,770.0,756.65,772.7,758.35
2020-08-20,758.35,758.35,771.75,762.7
2020-08-21,768.85,759.05,770.6,760.75
2020-08-24,763.0,750.25,767.0,751.75
2020-08-25,756.25,745.25,758.0,747.75
2020-08-26,751.5,744.2,754.0,748.0
2020-08-27,750.8,749.95,764.0,756.2
2020-08-28,763.0,746.7,771.0,748.6
2020-08-31,752.0,705.2,755.7,713.55
2020-09-01,713.55,710.0,741.0,736.55
2020-09-02,739.95,729.2,748.5,738.25
2020-09-03,742.7,735.0,745.95,738.6
2020-09-04,733.75,717.1,750.0,724.6
2020-09-07,728.0,707.0,733.8,716.75
2020-09-08,716.75,704.4,726.45,708.2
2020-09-09,709.15,705.2,734.95,727.55
2020-09-10,729.0,719.25,735.9,726.8
2020-09-11,725.8,720.25,731.5,725.95
2020-09-14,729.0,717.75,730.25,721.6
2020-09-15,723.0,722.65,754.0,742.45
2020-09-16,743.95,732.0,756.5,752.6
2020-09-17,751.0,746.7,762.0,751.5
2020-09-18,780.0,776.15,819.3,806.25
2020-09-21,806.25,762.0,811.95,768.1
2020-09-22,777.05,755.15,787.95,777.65
2020-09-23,783.95,761.8,784.0,767.4
2020-09-24,764.45,730.0,766.65,733.45
2020-09-25,752.0,740.4,777.0,770.1
2020-09-28,772.1,755.6,778.0,774.8
2020-09-29,777.6,759.05,786.0,762.35
2020-09-30,762.35,761.05,794.9,774.7
2020-10-01,779.8,765.75,781.0,773.0
2020-10-05,776.0,762.05,784.05,778.65
2020-10-06,782.0,777.0,788.0,780.35
2020-10-07,780.0,771.0,790.65,773.6
2020-10-08,775.0,774.9,815.6,811.45
2020-10-09,813.0,800.35,825.0,803.15
2020-10-12,805.0,800.15,819.75,813.65
2020-10-13,810.0,778.5,829.05,787.15
2020-10-14,788.8,766.8,794.55,781.5
2020-10-15,780.65,762.9,788.0,768.3
2020-10-16,766.95,758.4,787.5,782.35
