Date,Open,Low,High,Close
2020-10-08,142.85,139.6,143.5,140.95
2020-10-09,141.15,138.0,142.65,138.45
2020-10-12,139.65,133.0,139.65,135.9
2020-10-13,135.4,132.85,137.1,134.1
2020-10-14,133.75,128.8,134.65,130.7
2020-10-15,131.5,126.5,134.35,126.95
2020-10-16,129.4,126.0,130.05,127.75
2020-10-19,129.8,127.8,130.4,128.25
2020-10-20,128.1,126.35,130.3,129.65
2020-10-21,131.05,128.3,133.1,130.25
2020-10-22,129.7,128.45,134.6,133.5
2020-10-23,134.9,134.1,138.9,137.0
2020-10-26,138.4,131.25,140.8,133.7
2020-10-27,134.15,130.85,136.75,135.65
2020-10-28,139.0,133.5,143.25,134.8
2020-10-29,132.0,130.0,133.0,131.9
2020-10-30,133.2,130.3,134.5,132.65
2020-11-02,133.65,131.1,134.0,132.85
2020-11-03,135.0,133.55,137.4,134.1
2020-11-04,135.6,134.0,137.0,135.9
2020-11-05,137.0,136.0,138.0,137.65
2020-11-06,137.65,137.65,142.3,139.0
2020-11-09,140.6,138.7,141.5,141.0
2020-11-10,144.05,142.75,146.7,146.0
2020-11-11,146.5,145.65,151.5,150.95
2020-11-12,150.95,150.0,153.85,151.2
2020-11-13,150.0,145.35,150.0,146.35
2020-11-14,148.7,148.0,150.8,148.85
2020-11-17,152.5,152.2,159.35,158.0
2020-11-18,158.85,158.55,178.8,173.5
2020-11-19,171.4,166.55,176.35,167.95
2020-11-20,170.05,165.55,171.55,169.1
2020-11-23,169.5,165.55,173.9,170.7
2020-11-24,171.85,171.1,175.5,172.05
2020-11-25,175.0,169.25,176.8,171.45
2020-11-26,171.6,171.05,175.0,173.75
2020-11-27,174.65,174.65,183.85,180.35
2020-12-01,182.35,178.1,182.4,179.75
2020-12-02,184.0,181.1,187.35,183.6
2020-12-03,185.0,183.25,186.0,184.85
2020-12-04,186.5,182.2,188.8,184.15
2020-12-07,184.45,182.7,186.45,183.55
2020-12-08,184.95,178.95,185.7,181.8
2020-12-09,183.0,181.65,186.4,182.7
2020-12-10,182.7,176.4,182.7,177.6
2020-12-11,177.95,176.5,181.45,178.85
2020-12-14,181.0,176.7,181.5,177.65
2020-12-15,176.45,173.25,179.7,178.9
2020-12-16,181.0,180.1,183.8,182.55
2020-12-17,184.0,180.65,184.0,181.7
2020-12-18,180.9,176.65,181.5,180.55
2020-12-21,176.0,162.5,177.55,164.55
2020-12-22,164.55,156.7,169.2,164.95
2020-12-23,165.0,163.4,169.7,169.2
2020-12-24,172.0,172.0,178.0,175.95
2020-12-28,179.85,179.0,187.4,186.35
2020-12-29,187.9,181.1,188.45,183.45
2020-12-30,183.1,180.4,185.4,184.15
2020-12-31,184.85,182.8,187.5,183.85
2021-01-01,184.95,184.5,187.0,186.5
2021-01-04,191.8,188.75,193.0,191.3
2021-01-05,187.1,185.05,193.9,193.2
2021-01-06,194.45,190.65,197.6,195.4
2021-01-07,197.0,195.1,200.35,196.75
2021-01-08,198.75,197.1,201.5,198.15
2021-01-11,199.9,199.65,225.4,220.65
2021-01-12,227.0,224.1,252.4,237.8
2021-01-13,242.9,238.4,248.8,242.6
2021-01-14,242.85,238.6,249.8,245.1
2021-01-15,246.0,242.6,264.65,260.3
2021-01-18,261.65,241.15,262.45,245.95
2021-01-19,251.5,251.3,261.7,258.65
2021-01-20,260.0,258.85,277.5,274.9
2021-01-21,281.0,280.0,299.0,290.6
2021-01-22,295.95,278.35,306.9,289.35
2021-01-25,296.9,277.35,299.5,279.15
2021-01-27,274.9,265.7,275.0,267.5
2021-01-28,260.05,259.05,273.4,266.8
2021-01-29,273.0,260.6,278.8,262.7
2021-02-01,269.75,255.35,282.0,279.6
2021-02-02,293.6,290.4,328.85,322.0
2021-02-03,339.2,326.2,341.9,331.0
2021-02-04,329.0,322.45,334.5,326.15
2021-02-05,327.6,312.6,330.0,315.9
2021-02-08,318.75,318.0,339.25,335.95
2021-02-09,337.0,322.2,338.5,325.05
2021-02-10,326.0,319.5,332.65,328.9
2021-02-11,326.45,323.4,331.35,325.0
2021-02-12,326.4,321.25,330.5,325.4
2021-02-15,329.9,324.0,335.8,333.35
2021-02-16,335.45,327.5,337.9,329.2
2021-02-17,326.9,325.45,334.25,330.15
2021-02-18,331.5,321.1,331.75,323.85
2021-02-19,321.95,301.4,321.95,311.85
2021-02-22,312.45,302.15,313.9,304.5
2021-02-23,308.5,308.5,328.9,324.0
2021-02-24,325.0,316.5,330.0,321.65
2021-02-25,325.35,323.25,334.7,333.15
2021-02-26,323.0,318.85,332.95,322.95
2021-03-01,330.0,322.7,331.85,328.3
2021-03-02,331.1,326.45,347.2,345.75
2021-03-03,348.65,346.5,357.0,348.5
2021-03-04,339.0,337.3,345.4,339.2
2021-03-05,333.0,319.7,337.85,325.15
2021-03-08,331.75,318.8,331.75,321.25
2021-03-09,325.0,309.6,328.35,315.2
2021-03-10,319.5,316.7,324.45,321.45
2021-03-12,325.05,314.15,326.5,317.55
2021-03-15,320.0,310.05,320.4,318.55
2021-03-16,321.0,315.1,321.9,319.95
2021-03-17,318.6,304.0,320.0,305.8
2021-03-18,311.0,299.75,316.6,307.0
2021-03-19,303.5,290.2,311.0,308.95
2021-03-22,306.45,300.1,307.5,303.05
2021-03-23,305.0,304.0,312.25,307.4
2021-03-24,303.55,293.2,305.0,294.45
2021-03-25,294.0,282.25,294.0,285.55
2021-03-26,290.5,290.5,301.4,296.4
2021-03-30,300.5,292.7,301.3,297.05
2021-03-31,299.0,297.5,307.5,301.8
2021-04-01,306.75,303.05,309.85,307.75
2021-04-05,306.8,297.2,311.7,305.05
2021-04-06,306.15,304.8,313.8,307.75
2021-04-07,306.75,305.1,310.65,307.8
2021-04-08,307.9,307.5,319.8,313.95
2021-04-09,313.2,312.5,325.0,318.2
2021-04-12,307.85,282.9,307.85,286.55
2021-04-13,287.25,280.55,304.55,302.85
2021-04-15,303.0,296.5,307.55,303.5
2021-04-16,302.0,300.15,315.0,310.0
2021-04-19,295.0,292.8,304.5,301.4
2021-04-20,307.7,294.2,308.15,298.05
2021-04-22,294.0,292.2,302.5,294.55
2021-04-23,291.0,290.5,300.0,294.0
2021-04-26,297.0,294.6,299.0,295.4
2021-04-27,295.7,295.1,302.5,301.5
2021-04-28,303.5,303.0,309.5,305.9
2021-04-29,308.9,301.25,310.0,301.9
2021-04-30,298.2,292.55,301.3,293.85
2021-05-03,289.3,285.0,294.75,293.0
2021-05-04,296.35,288.05,299.75,289.45
2021-05-05,293.5,288.5,293.9,291.5
2021-05-06,291.5,290.3,302.0,301.25
2021-05-07,303.0,300.5,305.95,302.75
2021-05-10,304.5,304.0,315.7,314.85
2021-05-11,309.55,308.1,320.75,315.55
2021-05-12,318.25,316.25,334.75,326.0
2021-05-14,329.35,310.0,329.5,312.25
2021-05-17,315.4,311.4,323.85,321.1
2021-05-18,325.95,324.0,336.65,332.45
2021-05-19,313.0,312.1,322.95,314.45
2021-05-20,316.0,306.1,316.6,307.7
2021-05-21,312.0,309.5,315.7,313.1
2021-05-24,314.75,310.2,315.8,311.85
2021-05-25,315.55,313.85,319.0,315.25
2021-05-26,316.1,314.8,320.0,315.5
2021-05-27,317.05,316.55,323.45,318.6
2021-05-28,322.65,316.5,324.5,318.75
2021-05-31,318.7,312.1,319.75,318.75
2021-06-01,319.2,317.3,325.7,318.1
2021-06-02,315.95,315.6,324.4,323.0
2021-06-03,325.3,323.65,327.7,325.65
2021-06-04,325.15,324.25,336.9,334.95
2021-06-07,339.75,339.75,351.0,345.5
2021-06-08,346.25,337.5,356.65,352.75
2021-06-09,356.2,339.75,358.9,343.35
2021-06-10,345.2,342.4,347.85,344.75
2021-06-11,346.0,344.35,352.9,350.75
2021-06-14,350.05,341.1,357.9,355.95
2021-06-15,355.75,351.5,360.75,352.7
2021-06-16,350.1,348.1,356.0,349.35
2021-06-17,348.4,342.25,352.9,345.65
2021-06-18,345.65,329.0,346.9,337.4
2021-06-21,330.9,326.2,335.8,334.3
2021-06-22,337.1,336.15,344.3,337.9
2021-06-23,341.0,334.3,343.25,335.25
2021-06-24,335.0,333.35,337.4,334.65
2021-06-25,335.9,335.9,342.8,339.65
2021-06-28,340.8,337.55,345.0,342.8
2021-06-29,342.65,339.6,346.5,341.55
2021-06-30,342.0,338.85,345.35,339.6
2021-07-01,341.5,341.2,347.4,344.25
